fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0.1, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,0, 
exact_029.gr,12,0, 
exact_031.gr,11,0.1, 
exact_033.gr,12,0, 
exact_035.gr,9,0, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,14,0.3, 
exact_045.gr,11,6.7, 
exact_047.gr,25,3.4, 
exact_049.gr,10,0.4, 
exact_051.gr,11,0, 
exact_053.gr,7,0, 
exact_055.gr,9,0, 
exact_057.gr,13,144.9, 
exact_059.gr,42,34.6, 
exact_061.gr,13,32.7, 
exact_063.gr,12,1.1, 
exact_065.gr,11,0, 
exact_067.gr,9,0.4, 
exact_069.gr,6,0, 
exact_071.gr,15,0.5, 
exact_073.gr,16,3.7, 
exact_075.gr,-1,1800.8,Ran out of time, spent 1801.000000 seconds.
exact_077.gr,12,0.8, 
exact_079.gr,9,0.3, 
exact_081.gr,7,0, 
exact_083.gr,22,508, 
exact_085.gr,13,83, 
exact_087.gr,13,0, 
exact_089.gr,15,0.1, 
exact_091.gr,9,0.2, 
exact_093.gr,6,0, 
exact_095.gr,8,0.2, 
exact_097.gr,7,0, 
exact_099.gr,13,31.9, 
exact_101.gr,-1,1801.2,Ran out of time, spent 1801.000000 seconds.
exact_103.gr,13,69.9, 
exact_105.gr,9,0.4, 
exact_107.gr,11,28.9, 
exact_109.gr,9,1.3, 
exact_111.gr,18,1.4, 
exact_113.gr,6,0, 
exact_115.gr,12,18.1, 
exact_117.gr,-1,1800.6,Ran out of time, spent 1801.000000 seconds.
exact_119.gr,-1,1801.3,Ran out of time, spent 1801.000000 seconds.
exact_121.gr,-1,1802,Ran out of time, spent 1801.000000 seconds.
exact_123.gr,12,1063.9, 
exact_125.gr,10,2.5, 
exact_127.gr,8,0, 
exact_129.gr,-1,1800.7,Ran out of time, spent 1801.000000 seconds.
exact_131.gr,-1,1800.5,Ran out of time, spent 1801.000000 seconds.
exact_133.gr,15,39, 
exact_135.gr,-1,1803.5,Ran out of time, spent 1803.000000 seconds.
exact_137.gr,58,0.1, 
exact_139.gr,-1,1804.1,Ran out of time, spent 1803.000000 seconds.
exact_141.gr,13,113.4, 
exact_143.gr,16,233.1, 
exact_145.gr,7,0.1, 
exact_147.gr,-1,1829,Ran out of time, spent 1801.000000 seconds.
exact_149.gr,-1,1810.7,Ran out of time, spent 1802.000000 seconds.
exact_151.gr,7,0, 
exact_155.gr,-1,1803.1,Ran out of time, spent 1802.000000 seconds.
exact_157.gr,11,43.4, 
exact_161.gr,13,10.6, 
exact_163.gr,-1,1800.5,Ran out of time, spent 1801.000000 seconds.
exact_165.gr,9,3.3, 
exact_167.gr,-1,1803.3,Ran out of time, spent 1801.000000 seconds.
exact_169.gr,-1,1822.8,Ran out of time, spent 1804.000000 seconds.
exact_171.gr,-1,1838.4,Ran out of time, spent 1804.000000 seconds.
exact_175.gr,-1,1801.9,Ran out of time, spent 1801.000000 seconds.
exact_177.gr,9,0.6, 
exact_179.gr,-1,1821.9,Ran out of time, spent 1802.000000 seconds.
exact_181.gr,10,4.4, 
exact_183.gr,-1,1800.7,Ran out of time, spent 1801.000000 seconds.
exact_187.gr,-1,1803.5,Ran out of time, spent 1802.000000 seconds.
exact_189.gr,8,0, 
exact_191.gr,-1,1802.3,Ran out of time, spent 1802.000000 seconds.
exact_193.gr,-1,1825.9,Ran out of time, spent 1814.000000 seconds.
exact_195.gr,-1,1827.4,Ran out of time, spent 1804.000000 seconds.
exact_197.gr,-1,1802.5,Ran out of time, spent 1802.000000 seconds.
exact_199.gr,-1,1837.7,Ran out of time, spent 1834.000000 seconds.
